"";"Peso(kg)";"Talla(mts)";"tallasentado(cms)";"Pli.Biceps";"Pli.Tric";"Pli.Subesca";"Pli.Crestailiaca";"pli.Supraespinal";"Pli.Abd";"Pli.Muslo";"Pli.Pantorrilla";"Peri.Brazorelax";"Peri.Brazoflex";"Peri.Cintura";"Peri.Cadera";"Peri.Pantorrilla";"Diam.Humeral";"Diam.Femoral";"wells1";"wells2";"wells3";"Dina.der1";"Dina.Izq1";"Dina.der2";"Dina.Izq2";"SaltoH1";"SaltoH2";"20mtetros1";"20mtetros2";"Agilidad1";"Agilidad2";"Leger";"Sexo";"Estrato";"Edad"
"2079";27,5;1,268;66,6;6;16;9;21;11;16;22;11;19,5;19,1;58;68,1;25,4;5,3;7,2;3;2;3;8;7;9;7;108;109;5,13;5,07;14,81;14,16;2,5;"femenino";2;9
"2080";25,4;1,334;68,1;3;7;5;10;3;7;9;7;18,3;19,4;53,4;62,9;23,7;5,3;7,7;-3;-1;-2;10;12;10;10;139;150;4,34;4,38;15,12;13,72;3,5;"masculino";2;11
"2081";36,3;1,436;72,9;6;13;8;20;9;13;21;10;20;21,1;59;74,8;27,9;5,9;8,1;11;12,5;12;12;12;14;12;127;141;4,69;4,9;13,54;13,119;2,5;"femenino";2;11
"2082";30,1;1,457;71,9;4;7;5;9;4;6;14;9;17,6;18,1;59,5;67,7;25,6;5,7;7,9;-2;1;1;10;10;9;10;110;117;5,06;5,28;16,32;14,66;1,5;"femenino";2;10
"2083";33,8;1,429;71;7;14;12;16;10;16;18;15;20;21,6;55,5;76,8;27,1;5,4;7,8;6;6;6;9;11;12;11;109;115;4,65;4,68;13,5;13,72;4;"femenino";2;11
"2084";28,3;1,406;71,7;5;11;8;11;7;14;15;10;18;19,4;51,9;69,2;24,9;5,4;7,8;-14;-7;-4,5;12;10;11;12;110;110;4,97;4,81;14,72;13,94;3;"femenino";3;8
"2085";27;1,313;68,6;7;9;9;12;9;14;19;11;17;18,9;53,1;67,2;25;5,2;7,5;10;10,5;12;9;8;9;9;129;148;4,81;4,62;13,41;13,97;4;"femenino";2;10
"2086";36,8;1,452;74,4;7;13;10;10;7;15;21;13;20,9;21;59;76;27,5;5,6;8,4;8;9;9;8;9;9;10;127;122;5,06;5,19;16,41;13,87;2;"femenino";3;10
"2087";29,8;1,371;69,4;7;15;7;17;8;13;24;13;19,2;19,4;55,9;71,4;26,6;5;7,4;-1,5;0,5;-0,5;8;7;7;7;108;122;5,5;5,78;14,41;15,13;1,5;"femenino";2;11
"2088";34,8;1,365;38,9;11;15;12;21;12;25;22;14;20,5;21,8;66;70;27;5,5;8,6;-1;-1,5;-1;12;10;10;9;133;136;5,04;5;13,87;13,63;3;"masculino";2;10
"2089";36,6;1,406;69,9;11;18;11;32;14;33;27;20;22,1;22,1;65,2;75,7;28,5;5,3;8,2;-11;-8,5;-8,5;10;11;10;10;131;124;5;4,71;15,22;15,88;2;"masculino";2;10
"2090";25,5;1,311;69;3;8;5;7;3;4;14;9;18,2;19,4;52,4;63,6;26;5,3;7,9;-0,5;0;-2;11;11;10;11;142;140;4,06;4,25;12,9;13,78;5,5;"masculino";3;10
"2091";26,7;1,322;36,6;4;10;7;10;5;8;9;7;18,5;20,5;58,2;63,2;25,8;5,3;7,9;-0,5;1,5;0;11;14;14;14;148;157;4,25;4,16;12,78;12,72;5,5;"masculino";2;11
"2092";25,3;1,3;67,7;4;8;6;7;4;5;11;8;17,5;18,9;54,2;61,3;24,5;5,4;7,3;5;3,5;5,5;11;9;12;10;124;118;4,59;4,56;15,4;12,44;5,5;"masculino";2;11
"2093";34,1;1,391;69,6;6;13;10;11;7;17;13;10;19,9;20,8;61,1;70,6;29;5,2;8,2;-3,5;-3,5;-1,5;10;11;10;10;118;126;4,38;4,57;11,69;13,6;3,5;"masculino";2;10
"2094";35,2;1,371;72,9;9;16;11;18;12;17;25;14;20,5;21,5;63;72,5;30,2;5;7,6;5,5;3;5;10;10;9;11;109;110;4,97;5,65;16,47;15,27;2;"masculino";2;10
"2095";46,5;1,519;78,3;10;18;11;20;13;21;25;13;23,8;24,9;62,5;85;31;6,1;8,1;0;3;4;20;18;20;19;120;107;4,75;4,75;13,41;13;2;"femenino";2;9
"2096";44,2;1,374;68,3;18;30;31;38;30;35;29;19;26,5;26,5;74,5;82;30,6;6;8,5;-9,5;-7,5;-9,5;10;9;10;10;100;97;5,6;5,93;15,81;15,94;1;"masculino";3;10
"2097";32,9;1,464;73,1;8;15;13;17;12;20;25;10;19;20,1;59;68,6;27,8;5,4;7,7;5,5;-8,5;-4;9;9;9;8;97;105;4,94;4,97;14,72;15,03;2;"femenino";2;12
"2098";28,5;1,357;68,2;4;9;10;7;5;10;16;8;18,2;19,4;56;65;26,5;5;7,9;-2;-3,5;-2;14;14;14;14;168;188;4,25;4,07;13,06;13,22;4;"masculino";2;11
"2099";33,4;1,395;70,6;5;10;7;11;6;12;15;10;20,8;22,1;64,7;69,5;27,1;6,1;8,7;0;2;1,5;9;10;10;10;150;142;4,72;4,9;12,52;14,53;3,5;"masculino";1;11
"2100";37,6;1,51;78,6;5;11;14;14;9;15;17;9;21,3;21,7;57,1;78;27,5;5,3;7,8;-5;-4,5;-2,5;16;17;18;10;137;126;4,5;4,53;13,06;13,03;3,5;"femenino";2;12
"2101";41,9;1,55;73,1;8;17;13;26;12;21;21;13;23;23,2;67;77,1;30,6;5,7;8,8;-14;-13,5;-3;12;16;14;14;116;118;4,5;4,85;14,03;13,97;3,5;"masculino";2;11
"2102";30,1;1,33;66,7;6;11;6;12;5;8;18;10;20,5;21,1;57,6;66,9;27;5,6;8;-1;0;1;14;13;14;12;144;160;4,15;4,03;13,81;12,69;3,5;"masculino";2;11
"2103";52,6;1,476;77,6;13;20;20;29;25;35;30;22;26,7;28,2;80,5;86,1;42;5,9;9,1;0;-1;0;20;18;21;18;118;122;4,84;5,15;14,47;18,35;1,5;"masculino";2;11
"2104";37,3;1,469;73,5;12;18;16;32;20;31;22;16;21,9;22,6;63,1;76,2;29,9;6;8,2;-2,5;5,5;4,5;12;12;14;12;104;103;4,69;4,94;16,64;15;2,5;"femenino";2;11
"2105";27,3;1,329;66,5;6;9;5;7;6;8;16;7;17,8;18,8;57;63,3;25;5,6;8;-6;4;0;10;10;9;9;135;139;4,69;4,81;12,81;14,96;5,5;"masculino";2;10
"2106";46,1;1,449;74,8;13;22;23;26;23;38;33;20;24,5;24,5;71,2;83,5;31,1;5,8;8,5;-1,5;0;-2,5;9;9;10;9;117;135;4,91;4,92;15,4;15,57;2;"femenino";2;11
"2107";47,9;1,448;75,2;9;18;17;41;26;33;34;16;24,7;25,3;74,3;87,1;32,8;5,8;9,2;-8;-7,5;-7,5;17;15;16;14;122;129;4,65;4,56;12,94;14,66;3;"masculino";1;12
"2108";43,9;1,455;73,9;10;19;11;21;17;28;29;18;22,9;24,3;67,5;80,4;32,8;6;9;-1,5;-2,5;-2;13;9;14;8;153;151;4,47;4,31;13,22;13,28;3;"masculino";2;11
"2109";25,8;1,34;68,5;5;11;6;13;8;12;21;11;17,9;18;49,1;64,6;24,5;4,7;7;-8;-3,5;-3;8;7;7;8;100;101;5,19;4,94;14,31;13,03;3;"femenino";2;11
"2110";34,6;1,466;72,7;4;12;7;16;15;13;13;9;21,7;21,3;55,1;73,9;29;5,5;8;5;5,5;6,5;13;13;13;16;128;134;4,56;4,59;14,87;13,38;1,5;"femenino";2;11
"2111";25,1;1,272;64,7;7;12;7;12;7;11;18;8;18,2;18,9;52,1;63;24,8;5,8;7,4;4;4;4,5;9;7;9;7;85;80;4,56;4,6;13,59;13,35;3;"femenino";2;11
